Participant ID,Timestamp,X,Y,Page
1758888955314997,1758890905341,940,500,/index,move
1758888955314997,1758890905449,1206,138,/index,move
1758888955314997,1758890905551,1263,41,/index,move
1758888955314997,1758890905654,1292,17,/index,move
1758888955314997,1758890918712,1356,3,/index,move
1758888955314997,1758890918818,1004,63,/index,move
1758888955314997,1758890918920,662,121,/index,move
1758888955314997,1758890919028,576,181,/index,move
1758888955314997,1758890919129,515,211,/index,move
1758888955314997,1758890919236,418,234,/index,move
1758888955314997,1758890919345,340,273,/index,move
1758888955314997,1758890919454,248,486,/index,move
1758888955314997,1758890919563,202,508,/index,move
1758888955314997,1758890919678,185,493,/index,move
1758888955314997,1758890919819,183,493,/index,move
1758888955314997,1758890919966,182,493,/index,move
1758888955314997,1758890920022,181,494,/index,click
1758888955314997,1758890920445,181,496,/index,move
1758888955314997,1758890921089,186,565,/index,move
1758888955314997,1758890921211,182,570,/index,move
1758888955314997,1758890921328,176,578,/index,move
1758888955314997,1758890921558,176,579,/index,click
1758888955314997,1758890923671,176,582,/index,move
1758888955314997,1758890923778,161,637,/index,move
1758888955314997,1758890923886,154,657,/index,move
1758888955314997,1758890924078,152,659,/index,move
1758888955314997,1758890924186,158,638,/index,move
1758888955314997,1758890924446,158,637,/index,click
1758888955314997,1758890924537,159,635,/index,move
1758888955314997,1758891282946,264,2,/index,move
1758888955314997,1758891283047,605,113,/index,move
1758888955314997,1758891283154,682,161,/index,move
1758888955314997,1758891283262,698,227,/index,move
1758888955314997,1758891283371,621,317,/index,move
1758888955314997,1758891283472,388,458,/index,move
1758888955314997,1758891283580,312,496,/index,move
1758888955314997,1758891283689,264,509,/index,move
1758888955314997,1758891283796,229,510,/index,move
1758888955314997,1758891283897,225,509,/index,move
1758888955314997,1758891284121,223,508,/index,move
1758888955314997,1758891284229,203,521,/index,move
1758888955314997,1758891284337,174,568,/index,move
1758888955314997,1758891284439,156,612,/index,move
1758888955314997,1758891284546,155,619,/index,move
1758888955314997,1758891284654,159,629,/index,move
1758888955314997,1758891284905,159,629,/index,click
1758888955314997,1758891329986,1406,353,/index,move
1758888955314997,1758891330243,1483,385,/index,move
1758888955314997,1758891330351,1427,505,/index,move
1758888955314997,1758891330460,1400,577,/index,move
1758888955314997,1758891330568,1328,629,/index,move
1758888955314997,1758891330676,1169,637,/index,move
1758888955314997,1758891330785,997,651,/index,move
1758888955314997,1758891330893,927,667,/index,move
1758888955314997,1758891331002,908,674,/index,move
1758888955314997,1758891331110,836,697,/index,move
1758888955314997,1758891394661,1324,1,/index,move
1758888955314997,1758891394769,1127,201,/index,move
1758888955314997,1758891394877,1040,229,/index,move
1758888955314997,1758891394985,976,200,/index,move
1758888955314997,1758891395094,976,196,/index,move
1758888955314997,1758891395844,996,185,/index,move
1758888955314997,1758891395952,996,320,/index,move
1758888955314997,1758891396060,921,541,/index,move
1758888955314997,1758891396169,884,619,/index,move
1758888955314997,1758891396278,868,697,/index,move
