timestamp,frame,x,y,blink
1763119263.203595,0,1449,276,0
1763119263.221760,1,1266,229,0
1763119263.233267,2,1361,292,0
1763119263.245914,3,1303,326,0
1763119263.257923,4,1299,324,0
1763119263.346206,5,1366,508,0
1763119263.357779,6,1408,421,0
1763119263.369776,7,1398,424,0
1763119263.381773,8,1401,427,0
1763119263.490421,9,1333,502,0
1763119263.499149,10,1264,436,0
1763119263.508682,11,1276,429,0
1763119263.519598,12,1273,423,0
1763119263.619276,13,1376,532,0
1763119263.631425,14,1394,431,0
1763119263.643454,15,1383,455,0
1763119263.655579,16,1394,434,0
1763119263.745786,17,1474,465,0
1763119263.756785,18,1524,344,0
1763119263.767785,19,1481,325,0
1763119263.779801,20,1476,329,0
1763119263.891799,21,1353,389,0
1763119263.904799,22,1362,358,0
1763119263.915493,23,1336,360,0
1763119263.926717,24,1340,350,0
1763119264.018347,25,1399,311,0
1763119264.030347,26,1425,324,0
1763119264.042375,27,1395,334,0
1763119264.052921,28,1386,323,0
1763119264.151609,29,1339,293,0
1763119264.161927,30,1335,257,0
1763119264.171343,31,1351,266,0
1763119264.183400,32,1345,259,0
1763119264.291215,33,1415,464,0
1763119264.301318,34,1379,390,0
1763119264.312248,35,1391,425,0
1763119264.323443,36,1391,429,0
1763119264.418598,37,1441,523,0
1763119264.430599,38,1444,436,0
1763119264.441602,39,1407,476,0
1763119264.453146,40,1392,508,0
1763119264.545296,41,,,1
1763119264.554840,42,,,1
1763119264.566840,43,,,1
1763119264.575840,44,,,1
1763119264.693389,45,1410,777,0
1763119264.817740,46,1377,325,0
1763119264.827988,47,1364,401,0
1763119264.840022,48,1359,395,0
1763119264.852008,49,1366,386,0
1763119264.949498,50,1449,306,0
1763119264.957920,51,1478,329,0
1763119264.967775,52,1486,299,0
1763119264.978139,53,1484,302,0
1763119265.091101,54,1490,246,0
1763119265.101190,55,1476,362,0
1763119265.109926,56,1467,293,0
1763119265.119926,57,1474,310,0
1763119265.221749,58,1480,244,0
1763119265.232611,59,1467,278,0
1763119265.243617,60,1463,279,0
1763119265.254171,61,1474,293,0
1763119265.346983,62,1312,400,0
1763119265.356396,63,1329,383,0
1763119265.367275,64,1325,396,0
1763119265.379287,65,1327,394,0
1763119265.458928,66,1413,304,0
1763119265.470182,67,1401,333,0
1763119265.481412,68,1401,321,0
1763119265.553504,69,1352,361,0
1763119265.564601,70,1343,355,0
1763119265.575656,71,1304,383,0
1763119265.651051,72,1301,288,0
1763119265.666559,73,1306,309,0
1763119265.680561,74,1286,301,0
1763119265.752354,75,1333,357,0
1763119265.764048,76,1403,338,0
1763119265.775098,77,1386,330,0
1763119265.859691,78,1344,368,0
1763119265.869794,79,1338,412,0
1763119265.883230,80,1329,398,0
1763119265.958806,81,1333,487,0
1763119265.970407,82,1338,515,0
1763119265.980070,83,1377,489,0
1763119266.052604,84,1432,451,0
1763119266.062401,85,1322,459,0
1763119266.072713,86,1363,461,0
1763119266.149236,87,1327,283,0
1763119266.158234,88,1303,313,0
1763119266.168106,89,1326,303,0
1763119266.261447,90,1435,355,0
1763119266.275697,91,1363,410,0
1763119266.288749,92,1377,421,0
1763119266.358103,93,1368,403,0
1763119266.373284,94,1367,330,0
1763119266.385085,95,1384,323,0
1763119266.452749,96,1504,229,0
1763119266.464869,97,1518,304,0
1763119266.473870,98,1500,261,0
1763119266.553171,99,1415,378,0
1763119266.565317,100,1377,399,0
1763119266.575320,101,1377,403,0
1763119266.660805,102,1398,258,0
1763119266.670538,103,1401,352,0
1763119266.682824,104,1401,301,0
1763119266.758641,105,1428,428,0
1763119266.771465,106,1411,329,0
1763119266.784463,107,1394,270,0
1763119266.852436,108,1382,385,0
1763119266.862967,109,1373,343,0
1763119266.875402,110,1379,342,0
1763119266.947605,111,1310,271,0
1763119266.959709,112,1335,236,0
1763119266.970130,113,1333,252,0
1763119267.063508,114,1335,322,0
1763119267.074413,115,1335,287,0
1763119267.085363,116,1334,303,0
1763119267.155456,117,1456,378,0
1763119267.166180,118,1519,317,0
1763119267.177791,119,1503,306,0
1763119267.252437,120,1444,305,0
1763119267.264951,121,1458,314,0
1763119267.278022,122,1464,344,0
1763119267.350588,123,1444,342,0
1763119267.359521,124,1383,316,0
1763119267.372039,125,1383,320,0
1763119267.460986,126,1458,381,0
1763119267.471808,127,1460,373,0
1763119267.484576,128,1475,355,0
1763119267.560244,129,1339,264,0
1763119267.572233,130,1388,272,0
1763119267.585639,131,1370,276,0
1763119267.656453,132,1471,332,0
1763119267.666467,133,1419,324,0
1763119267.677255,134,1414,328,0
1763119267.753424,135,1332,343,0
1763119267.763618,136,1381,342,0
1763119267.773678,137,1385,318,0
1763119267.862188,138,1305,379,0
1763119267.873093,139,1364,335,0
1763119267.885241,140,1362,323,0
1763119267.957864,141,1340,321,0
1763119267.968160,142,1313,356,0
1763119267.980146,143,1326,332,0
1763119268.053820,144,1420,330,0
1763119268.067026,145,1469,295,0
1763119268.079868,146,1510,324,0
1763119268.149583,147,1436,240,0
1763119268.160345,148,1444,255,0
1763119268.169190,149,1459,242,0
1763119268.261863,150,1478,353,0
1763119268.275064,151,1522,350,0
1763119268.285957,152,1522,370,0
1763119268.356849,153,1490,313,0
1763119268.368366,154,1514,288,0
1763119268.379834,155,1491,282,0
1763119268.452516,156,1479,254,0
1763119268.462680,157,1452,250,0
1763119268.474858,158,1444,251,0
1763119268.548197,159,1383,290,0
1763119268.560796,160,1429,295,0
1763119268.572344,161,1378,316,0
1763119268.666895,162,1419,355,0
1763119268.677091,163,1403,340,0
1763119268.688599,164,1382,350,0
1763119268.754823,165,1393,364,0
1763119268.765918,166,1472,316,0
1763119268.775318,167,1462,338,0
1763119268.853350,168,1386,313,0
1763119268.863349,169,1422,363,0
1763119268.876988,170,1409,365,0
1763119268.949854,171,1478,380,0
1763119268.961578,172,1467,369,0
1763119268.970083,173,1470,367,0
1763119269.060727,174,1391,355,0
1763119269.071507,175,1389,384,0
1763119269.083828,176,1377,400,0
1763119269.162182,177,1399,332,0
1763119269.174138,178,1436,358,0
1763119269.184037,179,1438,354,0
1763119269.252306,180,1397,340,0
1763119269.263812,181,1388,328,0
1763119269.275578,182,1379,344,0
1763119269.350145,183,1478,400,0
1763119269.361120,184,1490,395,0
1763119269.375584,185,1475,395,0
1763119269.460842,186,1409,338,0
1763119269.472917,187,1434,302,0
1763119269.486915,188,1450,315,0
1763119269.557382,189,1469,370,0
1763119269.571109,190,1450,329,0
1763119269.586210,191,1424,303,0
1763119269.652212,192,1467,359,0
1763119269.662297,193,1534,263,0
1763119269.675905,194,1506,280,0
1763119269.747343,195,1510,360,0
1763119269.761417,196,1490,354,0
1763119269.775439,197,1498,349,0
1763119269.844680,198,1428,324,0
1763119269.856784,199,1400,289,0
1763119269.871408,200,1421,292,0
1763119269.960433,201,1431,249,0
1763119269.973784,202,1460,292,0
1763119269.986852,203,1423,316,0
1763119270.053846,204,1424,362,0
1763119270.065260,205,1410,359,0
1763119270.075985,206,1397,357,0
1763119270.149759,207,1363,264,0
1763119270.161337,208,1404,357,0
1763119270.172983,209,1393,317,0
1763119270.244526,210,1338,331,0
1763119270.258108,211,1381,295,0
1763119270.271896,212,1367,294,0
1763119270.358140,213,1426,279,0
1763119270.373270,214,1416,282,0
1763119270.385458,215,1395,264,0
1763119270.456963,216,1503,239,0
1763119270.468964,217,1511,231,0
1763119270.479473,218,1505,215,0
1763119270.548929,219,1435,288,0
1763119270.559118,220,1385,290,0
1763119270.570316,221,1400,286,0
1763119270.645560,222,1501,369,0
1763119270.655543,223,1487,380,0
1763119270.665349,224,1482,394,0
1763119270.759326,225,1469,315,0
1763119270.771502,226,1476,292,0
1763119270.784728,227,1475,300,0
1763119270.851117,228,1404,201,0
1763119270.861665,229,1411,230,0
1763119270.872554,230,1440,231,0
1763119270.948565,231,1359,335,0
1763119270.960850,232,1475,272,0
1763119270.973638,233,1479,229,0
1763119271.048509,234,1526,246,0
1763119271.061511,235,1519,229,0
1763119271.071982,236,1525,230,0
1763119271.157800,237,1388,262,0
1763119271.167488,238,1409,312,0
1763119271.181441,239,1404,315,0
1763119271.251953,240,1475,246,0
1763119271.265183,241,1484,252,0
1763119271.276957,242,1487,233,0
1763119271.349301,243,1422,229,0
1763119271.358716,244,1437,216,0
1763119271.370639,245,1435,216,0
1763119271.444669,246,1432,243,0
1763119271.456670,247,1437,254,0
1763119271.468361,248,1453,282,0
1763119271.556941,249,1457,269,0
1763119271.566450,250,1416,286,0
1763119271.576761,251,1422,291,0
1763119271.653286,252,1316,298,0
1763119271.667289,253,1364,277,0
1763119271.680912,254,1350,269,0
1763119271.747713,255,1461,291,0
1763119271.760744,256,1470,257,0
1763119271.773222,257,1500,255,0
1763119271.844083,258,1519,311,0
1763119271.858100,259,1492,297,0
1763119271.871113,260,1500,308,0
1763119271.956092,261,1468,258,0
1763119271.970107,262,1506,207,0
1763119271.983628,263,1493,232,0
1763119272.052912,264,1296,391,0
1763119272.067023,265,1291,351,0
1763119272.079531,266,1301,349,0
1763119272.148865,267,1506,278,0
1763119272.162355,268,1527,234,0
1763119272.174883,269,1523,252,0
1763119272.244475,270,1499,309,0
1763119272.257601,271,1548,362,0
1763119272.270925,272,1549,308,0
1763119272.358249,273,1440,294,0
1763119272.370598,274,1394,313,0
1763119272.384122,275,1388,324,0
1763119272.454734,276,1520,299,0
1763119272.465921,277,1434,336,0
1763119272.478501,278,1425,333,0
1763119272.549636,279,1376,334,0
1763119272.563674,280,1538,264,0
1763119272.578260,281,1481,272,0
1763119272.646801,282,1443,259,0
1763119272.660754,283,1387,266,0
1763119272.674254,284,1384,272,0
1763119272.756248,285,1403,288,0
1763119272.765435,286,1450,342,0
1763119272.777236,287,1439,345,0
1763119272.856229,288,1438,350,0
1763119272.865641,289,1447,325,0
1763119272.879534,290,1432,338,0
1763119272.949357,291,1509,324,0
1763119272.960369,292,1509,319,0
1763119272.973255,293,1509,321,0
1763119273.045543,294,1586,406,0
1763119273.054868,295,1598,417,0
1763119273.063698,296,1587,412,0
1763119273.157325,297,1439,291,0
1763119273.169413,298,1417,266,0
1763119273.182749,299,1422,297,0
1763119273.253786,300,1417,285,0
1763119273.264971,301,1453,292,0
1763119273.276483,302,1461,270,0
1763119273.349643,303,1366,199,0
1763119273.360994,304,1402,216,0
1763119273.374401,305,1391,211,0
1763119273.446843,306,1484,363,0
1763119273.458253,307,1499,331,0
1763119273.469499,308,1505,356,0
1763119273.558017,309,1408,299,0
1763119273.570057,310,1351,351,0
1763119273.583644,311,1369,330,0
1763119273.654508,312,1510,245,0
1763119273.665695,313,1455,203,0
1763119273.677307,314,1447,241,0
1763119273.749259,315,1468,291,0
1763119273.760081,316,1483,290,0
1763119273.771927,317,1500,293,0
1763119273.846248,318,1449,276,0
1763119273.860250,319,1510,263,0
1763119273.873448,320,1493,251,0
1763119273.958929,321,1542,341,0
