timestamp,datetimestamp,x_axis,y_axis
1749622029062,2025-06-11T06:07:09.062Z,34.9207748,980.1698135999999
1749622029077,2025-06-11T06:07:09.077Z,46.4622752,1009.0621592
1749622029093,2025-06-11T06:07:09.093Z,55.709120000000006,1028.7080998000001
1749622029108,2025-06-11T06:07:09.108Z,63.3057636,1043.4131884
1749622029124,2025-06-11T06:07:09.124Z,65.58297780000001,1049.1580254
1749622029139,2025-06-11T06:07:09.139Z,64.15462959999999,1051.9487878
1749622029154,2025-06-11T06:07:09.154Z,63.382996000000006,1053.1244407999998
1749622029170,2025-06-11T06:07:09.170Z,62.302617399999995,1053.8561492000001
1749622029185,2025-06-11T06:07:09.185Z,61.4118826,1054.0849512
1749622029200,2025-06-11T06:07:09.200Z,62.18350339999999,1053.4216668
1749622029216,2025-06-11T06:07:09.216Z,63.3783954,1053.0483706
1749622029232,2025-06-11T06:07:09.232Z,63.4390556,1053.1499542
1749622029248,2025-06-11T06:07:09.248Z,63.7316508,1053.5900791999998
1749622029280,2025-06-11T06:07:09.280Z,62.358475399999996,1053.084798
1749622029296,2025-06-11T06:07:09.296Z,60.889676800000004,1051.9898388000001
1749622029312,2025-06-11T06:07:09.312Z,58.7736896,1050.480294
1749622029328,2025-06-11T06:07:09.328Z,55.77476200000001,1048.8802366
1749622029344,2025-06-11T06:07:09.344Z,51.533511999999995,1047.1822532
1749622029360,2025-06-11T06:07:09.360Z,48.3463466,1046.905489
1749622029376,2025-06-11T06:07:09.376Z,45.8158768,1046.7611394
1749622029392,2025-06-11T06:07:09.392Z,44.232214799999994,1047.1679122
1749622029408,2025-06-11T06:07:09.408Z,44.4283614,1047.411671
1749622029427,2025-06-11T06:07:09.427Z,46.5278104,1047.4671952
1749622029441,2025-06-11T06:07:09.441Z,49.795092999999994,1047.107265
1749622029456,2025-06-11T06:07:09.456Z,52.600672599999996,1046.7581286
1749622029472,2025-06-11T06:07:09.472Z,56.816291,1047.4447844000001
1749622029488,2025-06-11T06:07:09.488Z,59.850150400000004,1048.4787629999998
1749622029504,2025-06-11T06:07:09.504Z,61.9016114,1049.1898114
1749622029520,2025-06-11T06:07:09.520Z,61.5965912,1049.1098218000002
1749622029536,2025-06-11T06:07:09.536Z,60.434391600000005,1049.3282134
1749622029552,2025-06-11T06:07:09.552Z,52.029701,1049.297082
1749622029579,2025-06-11T06:07:09.579Z,43.29386040000001,1050.1586286
1749622029593,2025-06-11T06:07:09.593Z,34.0843396,1051.5441232
1749622029604,2025-06-11T06:07:09.604Z,26.142296199999997,1053.1604349999998
1749622029619,2025-06-11T06:07:09.619Z,19.7062618,1054.1127722
1749622029634,2025-06-11T06:07:09.634Z,19.042756999999998,1054.5050114
1749622029649,2025-06-11T06:07:09.649Z,19.745601,1054.2222780000002
1749622029664,2025-06-11T06:07:09.664Z,21.550089,1053.4855254
1749622029680,2025-06-11T06:07:09.680Z,24.117586999999997,1053.1040322
1749622029696,2025-06-11T06:07:09.696Z,27.430585399999995,1051.2751116
1749622029891,2025-06-11T06:07:09.891Z,42.5407106,1054.9628938
1749622029906,2025-06-11T06:07:09.906Z,53.8055782,1059.1625506
1749622029936,2025-06-11T06:07:09.936Z,59.4598538,1061.7674929999998
1749622029953,2025-06-11T06:07:09.953Z,64.601462,1063.7886934000003
1749622029968,2025-06-11T06:07:09.968Z,67.9804282,1063.3843446
1749622029985,2025-06-11T06:07:09.985Z,59.934781,1059.8542646
1749622030220,2025-06-11T06:07:10.220Z,68.415553,1057.0429328
1749622030236,2025-06-11T06:07:10.236Z,75.8385576,1047.1721762000002
1749622030252,2025-06-11T06:07:10.252Z,83.157941,1038.9387774000002
1749622030268,2025-06-11T06:07:10.268Z,92.4841874,1036.4323212
1749622030284,2025-06-11T06:07:10.284Z,100.92312740000001,1032.7749800000001
1749622030300,2025-06-11T06:07:10.300Z,95.7068936,1027.9947705999998
1749622030326,2025-06-11T06:07:10.326Z,95.7623322,1031.4001433999997
1749622030340,2025-06-11T06:07:10.340Z,96.4064476,1035.8538219999998
1749622030355,2025-06-11T06:07:10.355Z,95.15946819999999,1038.8084411999998
1749622030373,2025-06-11T06:07:10.373Z,93.71763200000001,1039.7488194000002
1749622030389,2025-06-11T06:07:10.389Z,92.1294428,1040.4921166
1749622030402,2025-06-11T06:07:10.402Z,90.603206,1042.4544338
1749622030414,2025-06-11T06:07:10.414Z,84.34426219999999,1043.3134452
1749622030428,2025-06-11T06:07:10.428Z,77.4526982,1044.3891142
1749622030448,2025-06-11T06:07:10.448Z,71.72024719999999,1045.7570802
1749622030479,2025-06-11T06:07:10.479Z,64.1005358,1048.068056
1749622030488,2025-06-11T06:07:10.488Z,57.375401,1050.0201777999998
1749622030504,2025-06-11T06:07:10.504Z,56.2322812,1052.2504391999998
1749622030520,2025-06-11T06:07:10.520Z,57.8945532,1055.3561536000002
1749622030536,2025-06-11T06:07:10.536Z,59.0037546,1058.8284678
1749622030552,2025-06-11T06:07:10.552Z,64.82757760000001,1062.4692178
1749622030569,2025-06-11T06:07:10.569Z,70.0441862,1065.7548528
1749622030584,2025-06-11T06:07:10.584Z,74.24771480000001,1067.6583378
1749622030600,2025-06-11T06:07:10.600Z,76.7729896,1067.8389028000001
1749622030627,2025-06-11T06:07:10.627Z,77.9289706,1066.252619
1749622030641,2025-06-11T06:07:10.641Z,75.1982078,1062.770371
1749622030655,2025-06-11T06:07:10.655Z,72.1517808,1058.9044595999999
1749622030673,2025-06-11T06:07:10.673Z,68.43984179999998,1055.212321
1749622030683,2025-06-11T06:07:10.683Z,63.717850999999996,1051.3845252
1749622030703,2025-06-11T06:07:10.703Z,61.5548048,1050.4013479999999
1749622030725,2025-06-11T06:07:10.725Z,60.9288138,1050.8523464000002
1749622030741,2025-06-11T06:07:10.741Z,61.040964599999995,1052.0721678000002
1749622030756,2025-06-11T06:07:10.756Z,61.434670200000006,1053.3219402
1749622030775,2025-06-11T06:07:10.775Z,63.2575254,1055.6018980000001
1749622030789,2025-06-11T06:07:10.789Z,63.776101000000004,1056.3658138
1749622030813,2025-06-11T06:07:10.813Z,63.32590560000001,1055.3206612
1749622030823,2025-06-11T06:07:10.823Z,60.835668600000005,1054.3186099999998
1749622030837,2025-06-11T06:07:10.837Z,56.61078260000001,1053.0228232000002
1749622030852,2025-06-11T06:07:10.852Z,52.4297042,1051.5603876
1749622030868,2025-06-11T06:07:10.868Z,49.1329066,1050.3745979999999
1749622030884,2025-06-11T06:07:10.884Z,47.2213358,1050.6205908
